specification,Keyword,RGB hex value
css level 1,black,#000000
css level 1,silver,#c0c0c0
css level 1,gray,#808080
css level 1,white,#ffffff
css level 1,maroon,#800000
css level 1,red,#ff0000
css level 1,purple,#800080
css level 1,fuchsia,#ff00ff
css level 1,green,#008000
css level 1,lime,#00ff00
css level 1,olive,#808000
css level 1,yellow,#ffff00
css level 1,navy,#000080
css level 1,blue,#0000ff
css level 1,teal,#008080
css level 1,aqua,#00ffff
css level 1,aliceblue,#f0f8ff
css level 1,antiquewhite,#faebd7
css level 1,aqua,#00ffff
css level 1,aquamarine,#7fffd4
css level 1,azure,#f0ffff
css level 1,beige,#f5f5dc
css level 1,bisque,#ffe4c4
css level 1,black,#000000
css level 1,blanchedalmond,#ffebcd
css level 1,blue,#0000ff
css level 1,blueviolet,#8a2be2
css level 1,brown,#a52a2a
css level 1,burlywood,#deb887
css level 1,cadetblue,#5f9ea0
css level 1,chartreuse,#7fff00
css level 1,chocolate,#d2691e
css level 1,coral,#ff7f50
css level 1,cornflowerblue,#6495ed
css level 1,cornsilk,#fff8dc
css level 1,crimson,#dc143c
css level 1,cyan,
css level 1,#00ffff (synonym of aqua),
css level 1,darkblue,#00008b
css level 1,darkcyan,#008b8b
css level 1,darkgoldenrod,#b8860b
css level 1,darkgray,#a9a9a9
css level 1,darkgreen,#006400
css level 1,darkgrey,#a9a9a9
css level 2,darkkhaki,#bdb76b
css level 2,darkmagenta,#8b008b
css level 2,darkolivegreen,#556b2f
css level 2,darkorange,#ff8c00
css level 2,darkorchid,#9932cc
css level 2,darkred,#8b0000
css level 2,darksalmon,#e9967a
css level 2,darkseagreen,#8fbc8f
css level 2,darkslateblue,#483d8b
css level 2,darkslategray,#2f4f4f
css level 2,darkslategrey,#2f4f4f
css level 2,darkturquoise,#00ced1
css level 2,darkviolet,#9400d3
css level 2,deeppink,#ff1493
css level 2,deepskyblue,#00bfff
css level 2,dimgray,#696969
css level 2,dimgrey,#696969
css level 2,dodgerblue,#1e90ff
css level 2,firebrick,#b22222
css level 2,floralwhite,#fffaf0
css level 2,forestgreen,#228b22
css level 2,fuchsia,#ff00ff
css level 2,gainsboro,#dcdcdc
css level 2,ghostwhite,#f8f8ff
css level 2,gold,#ffd700
css level 2,goldenrod,#daa520
css level 2,gray,#808080
css level 2,green,#008000
css level 2,greenyellow,#adff2f
css level 2,grey,#808080 (synonym of gray)
css level 2,honeydew,#f0fff0
css level 2,hotpink,#ff69b4
css level 2,indianred,#cd5c5c
css level 2,indigo,#4b0082
css level 2,ivory,#fffff0
css level 2,khaki,#f0e68c
css level 2,lavender,#e6e6fa
css level 2,lavenderblush,#fff0f5
css level 2,lawngreen,#7cfc00
css level 2,lemonchiffon,#fffacd
css level 2,lightblue,#add8e6
css level 2,lightcoral,#f08080
css level 2,lightcyan,#e0ffff
css level 2,lightgoldenrodyellow,#fafad2
css level 2,lightgray,#d3d3d3
css level 2,lightgreen,#90ee90
css level 2,lightgrey,#d3d3d3
css level 2,lightpink,#ffb6c1
css level 2,lightsalmon,#ffa07a
css level 2,lightseagreen,#20b2aa
css level 2,lightskyblue,#87cefa
css level 2,lightslategray,#778899
css level 2,lightslategrey,#778899
css level 3,lightsteelblue,#b0c4de
css level 3,lightyellow,#ffffe0
css level 3,lime,#00ff00
css level 3,limegreen,#32cd32
css level 3,linen,#faf0e6
css level 3,magenta,
css level 3,#ff00ff (synonym of fuchsia),
css level 3,maroon,#800000
css level 3,mediumaquamarine,#66cdaa
css level 3,mediumblue,#0000cd
css level 3,mediumorchid,#ba55d3
css level 3,mediumpurple,#9370db
css level 3,mediumseagreen,#3cb371
css level 3,mediumslateblue,#7b68ee
css level 3,mediumspringgreen,#00fa9a
css level 3,mediumturquoise,#48d1cc
css level 3,mediumvioletred,#c71585
css level 3,midnightblue,#191970
css level 3,mintcream,#f5fffa
css level 3,mistyrose,#ffe4e1
css level 3,moccasin,#ffe4b5
css level 3,navajowhite,#ffdead
css level 3,navy,#000080
css level 3,oldlace,#fdf5e6
css level 3,olive,#808000
css level 3,olivedrab,#6b8e23
css level 3,orange,#ffa500
css level 3,orangered,#ff4500
css level 3,orchid,#da70d6
css level 3,palegoldenrod,#eee8aa
css level 3,palegreen,#98fb98
css level 3,paleturquoise,#afeeee
css level 3,palevioletred,#db7093
css level 3,papayawhip,#ffefd5
css level 3,peachpuff,#ffdab9
css level 3,peru,#cd853f
css level 3,pink,#ffc0cb
css level 3,plum,#dda0dd
css level 3,powderblue,#b0e0e6
css level 3,purple,#800080
css level 3,rebeccapurple,#663399
css level 3,red,#ff0000
css level 3,rosybrown,#bc8f8f
css level 3,royalblue,#4169e1
css level 3,saddlebrown,#8b4513
css level 3,salmon,#fa8072
css level 3,sandybrown,#f4a460
css level 3,seagreen,#2e8b57
css level 3,seashell,#fff5ee
css level 3,sienna,#a0522d
css level 3,silver,#c0c0c0
css level 3,skyblue,#87ceeb
css level 3,slateblue,#6a5acd
css level 3,slategray,#708090
css level 3,slategrey,#708090
css level 3,snow,#fffafa
css level 3,springgreen,#00ff7f
css level 3,steelblue,#4682b4
css level 3,tan,#d2b48c
css level 3,teal,#008080
css level 3,thistle,#d8bfd8
css level 3,tomato,#ff6347
css level 3,transparent,See transparent.
css level 3,turquoise,#40e0d0
css level 3,violet,#ee82ee
css level 3,wheat,#f5deb3
css level 3,white,#ffffff
css level 3,whitesmoke,#f5f5f5
css level 3,yellow,#ffff00
css level 3,yellowgreen,#9acd32